"page","block","type","y0","y1","file","ocr_heading"
"196","3","idiom","516","762","take-away.png","take ~ away"
"196","4","idiom","764","1010","take-away-2.png","take ~ away"
"197","1","idiom","34","271","take-back.png","take ~ back"
"197","2","idiom","273","519","take-back-2.png","take back ~"
"197","3","idiom","521","764","take-down.png","take down"
"197","4","idiom","766","1010","take-down-2.png","take down"
"198","1","idiom","34","272","take-in.png","take in"
"198","2","idiom","274","521","take-in-2.png","take in -"
"198","3","idiom","523","765","take-in-3.png","take in"
"198","4","idiom","767","1010","take-in-4.png","take ~ in"
"199","1","idiom","34","266","take-in-5.png","take in ~"
"199","2","idiom","268","515","take-off.png","take off"
"199","3","idiom","517","761","take-off-2.png","take ~ off"
"199","4","idiom","763","1010","take-off-3.png","take ~ off"
"200","1","idiom","34","268","take-off-4.png","take off ~"
"200","2","idiom","270","515","take-on-thatcompanytakesonmany.png","take on ~ | Thatcompanytakesonmany"
"200","3","idiom","517","764","take-on.png","take on ~"
"200","4","idiom","766","1010","take-out.png","take ~ out"
"201","1","idiom","34","271","take-out-of-b.png","take A out of B"
"201","2","idiom","273","520","take-over.png","take over ~"
"201","3","idiom","522","762","take-to.png","take to"
"201","4","idiom","764","1010","take-up.png","take up"
"202","1","idiom","34","270","take-up-2.png","take up"
"202","2","idiom","272","516","take-up-3.png","take up ~"
"202","3","idiom","518","766","take-up-4.png","take up"
"202","4","idiom","768","1010","take-apart-3.png","take apart ~"
"203","1","idiom","34","275","give-back-to-b.png","give A back | (to B)"
"203","2","idiom","277","520","give-up.png","give up (~)"
"203","3","idiom","522","764","give-away.png","give ~ away"
"203","4","idiom","766","1010","give-away-2.png","give away"
"204","1","idiom","34","266","give-in.png","give in -"
"204","2","idiom","268","512","give-in-2.png","give in"
"204","3","idiom","514","762","give-off.png","give off ~"
"204","4","idiom","764","1010","give-out.png","give out"
"205","1","idiom","34","268","give-out-to-b.png","give out A | (to B)"
"205","2","idiom","270","517","give-out-2.png","give out ~"
"205","3","idiom","519","762","give-over.png","give over"
"205","4","idiom","764","1010","give-oneself-over-to.png","give oneself | over to ~"
"206","","page","0","1062","look-see-watch.png","look-see-watch"
"207","","page","0","1062","look-see-watch-2.png","look-see-watch"
"208","1","idiom","34","268","look-for.png","look for ~"
"208","2","idiom","270","513","look-out-of.png","look out of ~"
"208","3","idiom","515","759","look-through.png","look through "
"208","4","idiom","761","1010","look-away-from.png","look away | from ~"
